Name,Age,City,Maths,Science,English
Student_1,24.0,Pune,71.0,48.0,67.0
Student_2,21.0,,85.0,57.0,82.0
Student_3,22.0,,41.0,94.0,89.0
Student_4,24.0,Mumbai,55.0,91.0,57.0
Student_5,20.0,Bangalore,43.0,74.0,58.0
Student_6,210.0,Mumbai,,55.0,71.0
Student_7,22.0,Mumbai,,50.0,69.0
Student_8,24.0,Delhi,38.0,79.0,78.0
Student_9,19.0,Mumbai,59.0,52.0,74.0
Student_10,20.0,Delhi,94.0,81.0,56.0
Student_11,24.0,delhi,48.0,,61.0
Student_12,,Mumbai,84.0,58.0,69.0
Student_13,20.0,Bangalore,92.0,60.0,35.0
Student_14,22.0,Bangalore,43.0,59.0,69.0
Student_15,21.0,Bangalore,60.0,94.0,71.0
Student_16,20.0,Bangalore,87.0,94.0,81.0
Student_17,23.0,Bangalore,36.0,94.0,48.0
Student_18,22.0,Mumbai,54.0,79.0,37.0
Student_19,19.0,Mumbai,62.0,,35.0
Student_20,21.0,Pune,81.0,63.0,39.0
Student_21,23.0,Bangalore,94.0,,60.0
Student_22,23.0,,41.0,79.0,89.0
Student_23,19.0,MUMBAI ,78.0,,48.0
Student_24,21.0,Bangalore,,,73.0
Student_25,22.0,Delhi,81.0,41.0,61.0
Student_26,18.0,Pune,69.0,,43.0
Student_27,21.0,Mumbai,48.0,,49.0
Student_28,,Delhi,51.0,35.0,49.0
Student_29,23.0,Delhi,70.0,,60.0
Student_30,22.0,Delhi,84.0,42.0,76.0
Student_31,-3.0,Pune,74.0,58.0,94.0
Student_32,18.0,Mumbai,38.0,45.0,47.0
Student_33,18.0,Delhi,36.0,85.0,85.0
Student_34,20.0,Bangalore,40.0,51.0,66.0
Student_35,20.0,Delhi,88.0,42.0,73.0
Student_36,24.0,Delhi,76.0,69.0,83.0
Student_37,19.0,Pune,38.0,69.0,86.0
Student_38,,Pune,,67.0,66.0
Student_39,21.0,Mumbai,,93.0,38.0
Student_40,24.0,Bangalore,52.0,,64.0
Student_41,,Pune,60.0,,71.0
Student_42,,Delhi,78.0,73.0,57.0
Student_43,24.0,Mumbai,68.0,92.0,73.0
Student_44,23.0,Delhi,44.0,75.0,79.0
Student_45,20.0,Delhi,70.0,62.0,49.0
Student_46,21.0,Pune,48.0,41.0,77.0
Student_47,,Mumbai,65.0,43.0,63.0
Student_48,21.0,Bangalore,82.0,,70.0
Student_49,,Bangalore,49.0,46.0,47.0
Student_50,20.0,Pune,42.0,,66.0
Student_4,24.0,Mumbai,55.0,91.0,57.0
Student_18,22.0,Mumbai,54.0,79.0,37.0
