Student_ID,Gender,Department,Semester,Attendance,Family_Income,CGPA,Scholarship,Hosteller,Placement_Package
S001,Male,BCA,1,77,380000.0,7.01,No,Yes,
S002,Female,BCA,5,87,,6.3,No,Yes,
S003,Male,MBA,1,88,450000.0,8.14,No,Yes,
S004,Female,BBA,3,69,,6.91,No,No,
S005,Male,BCA,3,82,830000.0,8.19,No,Yes,
S006,Female,MBA,1,95,490000.0,7.17,No,No,
S007,Male,BCA,5,74,540000.0,8.75,Yes,Yes,6.4
S008,Female,MBA,5,83,510000.0,6.74,No,No,9.3
S009,Male,BCA,5,70,450000.0,7.96,No,Yes,5.4
S010,Female,MCA,5,80,540000.0,8.98,Yes,Yes,10.2
S011,Male,MBA,3,64,520000.0,6.9,No,No,
S012,Female,MBA,5,89,560000.0,6.67,No,Yes,7.9
S013,Male,MBA,5,85,900000.0,7.39,No,Yes,9.8
S014,Female,BCA,1,70,,8.81,Yes,No,
S015,Male,MBA,5,76,390000.0,9.4,Yes,Yes,7.8
S016,Female,BBA,5,81,450000.0,6.57,No,No,11.6
S017,Male,BBA,5,71,630000.0,7.88,No,Yes,7.6
S018,Female,MCA,1,83,660000.0,8.72,Yes,Yes,
S019,Male,BCA,3,79,350000.0,6.99,No,Yes,
S020,Female,MBA,1,94,850000.0,8.73,Yes,Yes,
S021,Male,MCA,3,93,520000.0,9.08,Yes,No,
S022,Female,MCA,5,79,810000.0,7.52,No,No,7.1
S023,Male,MCA,1,64,,7.32,No,Yes,
S024,Female,BCA,1,64,340000.0,9.19,Yes,No,
S025,Male,BBA,5,91,850000.0,6.91,No,Yes,
S026,Female,BCA,1,87,840000.0,7.37,No,No,
S027,Male,BCA,5,66,380000.0,6.4,No,No,
S028,Female,MBA,1,77,810000.0,7.73,No,Yes,
S029,Male,BCA,1,94,550000.0,8.96,Yes,Yes,
S030,Female,MBA,3,73,,9.05,Yes,Yes,
S031,Male,MBA,3,89,440000.0,7.14,No,No,
S032,Female,MCA,1,97,,8.63,Yes,Yes,
S033,Male,MBA,5,93,,6.72,No,Yes,3.6
S034,Female,MBA,1,96,,7.01,No,Yes,
S035,Male,BBA,3,73,550000.0,8.41,Yes,No,
S036,Female,MCA,5,79,260000.0,7.71,No,Yes,12.0
S037,Male,BCA,1,94,410000.0,6.9,No,No,
S038,Female,BCA,1,83,940000.0,7.14,No,No,
S039,Male,BCA,5,95,420000.0,7.19,No,Yes,11.0
S040,Female,MCA,3,78,510000.0,8.2,Yes,No,
S041,Male,BBA,5,91,360000.0,7.03,No,Yes,10.5
S042,Female,BCA,1,81,450000.0,8.74,Yes,No,
S043,Male,MBA,5,60,,6.57,No,Yes,
S044,Female,MBA,1,62,,7.22,No,Yes,
S045,Male,MCA,5,66,440000.0,7.37,No,No,5.1
S046,Female,MCA,1,86,770000.0,6.28,No,No,
S047,Male,MCA,3,70,730000.0,8.8,Yes,Yes,
S048,Female,MBA,1,72,,8.89,Yes,No,
S049,Male,MCA,1,61,670000.0,8.38,Yes,No,
S050,Female,BCA,3,82,,8.32,Yes,No,
S051,Male,BCA,1,76,290000.0,6.79,No,No,
S052,Female,MBA,3,80,740000.0,7.64,No,Yes,
S053,Male,MCA,3,62,910000.0,8.54,Yes,Yes,
S054,Female,MCA,3,87,650000.0,6.43,No,No,
S055,Male,BCA,5,79,660000.0,7.87,No,No,5.7
S056,Female,MCA,1,86,470000.0,8.39,Yes,No,
S057,Male,BBA,3,95,610000.0,8.95,Yes,No,
S058,Female,BBA,3,88,900000.0,7.66,No,Yes,
S059,Male,MCA,5,65,360000.0,7.14,No,No,9.8
S060,Female,BBA,1,72,560000.0,6.69,No,Yes,
S061,Male,BCA,3,86,740000.0,9.12,Yes,Yes,
S062,Female,MCA,1,60,,9.15,Yes,Yes,
S063,Male,MBA,1,95,830000.0,7.02,No,Yes,
S064,Female,MBA,5,93,810000.0,9.46,Yes,No,9.5
S065,Male,MBA,5,88,820000.0,9.16,Yes,No,5.2
S066,Female,BBA,5,91,,8.27,Yes,No,5.6
S067,Male,BBA,3,80,420000.0,9.15,Yes,Yes,
S068,Female,MBA,5,69,,8.53,Yes,Yes,7.9
S069,Male,MBA,1,73,270000.0,8.95,Yes,No,
S070,Female,MBA,3,60,740000.0,9.31,Yes,No,
S071,Male,MBA,5,94,870000.0,8.84,Yes,Yes,6.9
S072,Female,BCA,3,81,460000.0,8.41,Yes,No,
S073,Male,MCA,5,94,280000.0,6.29,No,No,6.9
S074,Female,MCA,1,76,,7.45,No,Yes,
S075,Male,MBA,3,86,,7.03,No,Yes,
S076,Female,BCA,3,74,280000.0,8.35,Yes,Yes,
S077,Male,MCA,1,69,390000.0,6.99,No,No,
S078,Female,MCA,3,76,390000.0,8.73,Yes,Yes,
S079,Male,MCA,3,66,730000.0,8.11,No,No,
S080,Female,MCA,1,97,380000.0,8.48,Yes,Yes,
S081,Male,BBA,5,98,690000.0,8.86,Yes,Yes,9.0
S082,Female,BCA,5,81,,6.24,No,No,11.6
S083,Male,MBA,5,69,930000.0,7.64,No,No,7.2
S084,Female,BBA,3,75,600000.0,8.94,Yes,Yes,
S085,Male,MCA,3,96,,8.21,Yes,No,
S086,Female,BBA,1,91,,6.9,No,No,
S087,Male,BBA,5,60,350000.0,7.9,No,Yes,6.7
S088,Female,MCA,5,90,820000.0,8.33,Yes,No,3.8
S089,Male,MCA,3,75,850000.0,7.21,No,No,
S090,Female,BBA,3,95,,7.29,No,No,
S091,Male,MCA,1,72,490000.0,7.24,No,Yes,
S092,Female,MBA,3,97,370000.0,9.42,Yes,No,
S093,Male,BBA,1,83,930000.0,6.79,No,Yes,
S094,Female,BCA,1,95,,7.16,No,Yes,
S095,Male,BCA,5,78,680000.0,7.75,No,No,3.5
S096,Female,MBA,1,64,,7.52,No,Yes,
S097,Male,BBA,1,75,530000.0,6.59,No,No,
S098,Female,MBA,3,88,640000.0,7.18,No,No,
S099,Male,BCA,5,66,520000.0,9.33,Yes,Yes,3.7
S100,Female,MCA,1,95,770000.0,6.45,No,Yes,
S101,Male,MBA,3,62,,6.96,No,No,
S102,Female,MCA,3,97,,8.38,Yes,Yes,
S103,Male,MCA,5,69,,9.2,Yes,Yes,10.1
S104,Female,BBA,3,67,760000.0,7.75,No,No,
S105,Male,MBA,3,65,660000.0,8.17,No,No,
S106,Female,BCA,1,74,590000.0,9.37,Yes,Yes,
S107,Male,MCA,3,93,480000.0,8.35,Yes,No,
S108,Female,MBA,5,91,,9.4,Yes,No,5.9
S109,Male,BCA,1,81,610000.0,7.56,No,No,
S110,Female,MBA,5,62,,7.7,No,No,11.7
S111,Male,MBA,5,60,,8.37,Yes,No,7.7
S112,Female,MBA,5,88,590000.0,8.71,Yes,Yes,11.3
S113,Male,MBA,5,91,450000.0,6.6,No,Yes,
S114,Female,MCA,1,89,880000.0,9.33,Yes,Yes,
S115,Male,BBA,5,77,850000.0,7.57,No,No,8.0
S116,Female,MBA,1,98,,7.88,No,Yes,
S117,Male,MBA,3,92,610000.0,7.08,No,Yes,
S118,Female,MBA,1,88,670000.0,7.98,No,No,
S119,Male,MBA,3,80,740000.0,9.07,Yes,Yes,
S120,Female,MBA,1,80,740000.0,8.66,Yes,No,
S121,Male,MCA,3,62,370000.0,6.62,No,No,
S122,Female,MBA,1,93,,9.2,Yes,Yes,
S123,Male,MCA,1,90,680000.0,8.78,Yes,No,
S124,Female,MBA,5,65,650000.0,9.01,Yes,No,11.0
S125,Male,MBA,5,62,610000.0,8.24,Yes,Yes,9.7
S126,Female,MBA,1,66,,7.66,No,No,
S127,Male,BCA,3,82,560000.0,7.44,No,Yes,
S128,Female,MCA,1,71,550000.0,6.46,No,No,
S129,Male,MCA,1,89,570000.0,8.31,Yes,No,
S130,Female,MBA,3,94,690000.0,6.72,No,No,
S131,Male,BBA,5,87,630000.0,8.48,Yes,No,6.5
S132,Female,MBA,1,75,620000.0,7.46,No,No,
S133,Male,BBA,1,85,880000.0,7.11,No,Yes,
S134,Female,BBA,1,98,490000.0,8.85,Yes,Yes,
S135,Male,MCA,5,66,640000.0,9.18,Yes,Yes,3.3
S136,Female,BBA,5,68,660000.0,6.5,No,No,
S137,Male,BBA,5,92,570000.0,9.21,Yes,Yes,11.5
S138,Female,BBA,5,81,,8.85,Yes,No,11.7
S139,Male,MBA,5,83,260000.0,6.5,No,No,
S140,Female,BBA,5,84,380000.0,8.91,Yes,No,7.2
S141,Male,BBA,5,74,630000.0,8.34,Yes,No,4.1
S142,Female,BCA,1,79,,9.49,Yes,Yes,
S143,Male,MCA,3,89,440000.0,7.42,No,No,
S144,Female,BCA,3,86,290000.0,9.3,Yes,No,
S145,Male,MCA,3,88,370000.0,9.34,Yes,No,
S146,Female,BBA,5,82,490000.0,6.4,No,No,11.5
S147,Male,BCA,5,73,310000.0,8.32,Yes,Yes,5.2
S148,Female,MCA,5,73,520000.0,6.43,No,Yes,5.1
S149,Male,BCA,3,69,470000.0,9.46,Yes,No,
S150,Female,BCA,1,60,,7.38,No,Yes,
S151,Male,BBA,1,68,330000.0,8.65,Yes,Yes,
S152,Female,BBA,5,97,300000.0,6.56,No,Yes,11.2
S153,Male,BBA,3,61,760000.0,6.4,No,No,
S154,Female,BCA,3,88,660000.0,6.44,No,Yes,
S155,Male,BCA,1,77,730000.0,8.26,Yes,No,
S156,Female,BBA,3,92,390000.0,8.2,Yes,Yes,
S157,Male,MCA,3,88,680000.0,9.13,Yes,No,
S158,Female,MBA,3,66,,7.23,No,No,
S159,Male,MCA,5,90,360000.0,6.42,No,Yes,
S160,Female,MCA,5,63,,8.14,No,No,10.9
S161,Male,MBA,5,63,700000.0,9.4,Yes,No,7.6
S162,Female,MCA,5,90,690000.0,6.94,No,Yes,6.3
S163,Male,MCA,3,95,,9.42,Yes,Yes,
